state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,target_beni_expanded_score,beni_expanded_rank,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,matching_grant_2018_2022_naira,cv_fold,source_file,source_sheets,merge_status,cleaning_status,interim_note
Abia,2018,0.2811446244790875,23,Medium Need,16.316241165440648,23.249511869283733,0.26929179287465743,0.5369437878943583,111.94507669470559,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Abia,2019,0.20965983432422913,26,Lower Need,24.73072295745379,22.9696261682243,0.0784206496773488,0.5307801706623324,110.89406571848946,1519.88407868,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Abia,2020,0.2107342999775496,26,Lower Need,24.693421332765595,23.5646078829744,0.07738982329146264,0.5307801706623324,113.87825233186058,0.0,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Abia,2022,0.21027488100596567,30,Lower Need,30.500511770726714,30.594455852156056,0.1142644458918768,0.41179764793727835,279.9222886421862,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.2269636974552347,34.0,0.297362,1275605.0,104573334025.73,Medium,2993716917.88,1.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Adamawa,2018,0.3727462947680726,16,Medium Need,24.037105390966488,47.66829330936176,0.28340618423182773,0.5452677539488892,256.96988577362407,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Adamawa,2019,0.3721854271050057,17,Medium Need,26.435919295254333,47.786310517529216,0.2720943449843706,0.5452677539488892,257.6060920733818,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Adamawa,2020,0.37699920089024175,17,Medium Need,28.030739924550854,48.187170925902144,0.2747170657005192,0.5452677539488892,259.76704742125304,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Adamawa,2022,0.34403684036981236,17,Medium Need,31.352943366720037,55.44883445278546,0.25565029601221284,0.4401422362702489,348.96228760878574,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,0.47821127842868133,15.0,0.58143,1647586.0,122481259391.92,Medium,4655437717.68,2.0,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,merged_with_expanded_2022_context,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Akwa Ibom,2018,0.5605002047151899,1,High Need,102.70476706392199,71.98185200653025,0.214409534127844,0.4804282622726755,739.730784237222,1473.83709721,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
Akwa Ibom,2019,0.5646110565482891,2,High Need,132.46388206388207,71.2512932824831,0.11842751842751843,0.47781595740663824,733.3649436455499,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,,,,,,,,,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear; Model_Ready_Expanded_2022,core_state_year_only,interim_merged,Interim state-year merge. Core UBEC-derived rows are retained for all available years; expanded NBS/DMO/context fields are joined where available for 2022.
