state,year,target_beni_expanded_score,beni_expanded_rank,target_beni_core_score,beni_core_rank,school_age_basic_population,matching_grant_2018_2022_naira,nbs_socioeconomic_need_proxy,dmo_domestic_debt_stock_naira,fiscal_pressure_band,equal_allocation_share,population_based_allocation_share,beni_expanded_allocation_share,matching_grant_2018_2022_share,equal_allocation_rank,population_based_rank,beni_expanded_allocation_rank,matching_grant_rank,beni_minus_population_share,beni_minus_equal_share,beni_rank_minus_population_rank,source_file,source_sheet,processed_dataset_name,processed_status,interpretation_note
Katsina,2022,0.7809727773862591,1,0.7846029241207911,1,3844428,5859890077.43,0.635673,62374809154.32,Low,0.02702702702702703,0.05457224931903715,0.05038681713239397,0.02958166715264374,1,2,1,15,-0.004185432186643176,0.023359790105366943,-1,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Yobe,2022,0.7345871356586402,2,0.724424398184496,2,1278008,5859840077.26,0.652029,92859643611.94,Medium,0.02702702702702703,0.018141520977301182,0.047394107379922897,0.0295814147437475,1,27,2,24,0.029252586402621714,0.020367080352895868,-25,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Borno,2022,0.649319458312419,3,0.635985076100218,3,1906072,5859890077.38,0.601749,96329344297.36,Medium,0.02702702702702703,0.02705698647602082,0.041892805682664,0.02958166715239133,1,15,3,18,0.014835819206643178,0.014865778655636971,-12,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Sokoto,2022,0.6289216614981056,4,0.5777019476738472,5,2410947,5859890077.440001,0.724193,85584818029.23,Low,0.02702702702702703,0.03422376509040738,0.040576780223458765,0.02958166715269422,1,8,4,4,0.006353015133051386,0.013549753196431737,-4,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Kebbi,2022,0.6208063949845395,5,0.5449676739814474,8,1951520,5859890077.43,0.807484,60131306074.57,Low,0.02702702702702703,0.027702127856494483,0.04005319929767003,0.02958166715264374,1,13,5,15,0.01235107144117555,0.013026172270643004,-8,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Zamfara,2022,0.6132712654863093,6,0.5593369904698434,6,2219338,5859890077.440001,0.722688,109692050891.29,Medium,0.02702702702702703,0.03150384573705458,0.03956704766333662,0.02958166715269422,1,10,6,4,0.008063201926282043,0.012540020636309594,-4,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Imo,2022,0.5878903638692669,7,0.6272765059752682,4,1754241,3708791059.2,0.366297,207520959471.52,High,0.02702702702702703,0.024901721977281677,0.037929522149690344,0.0187225734957937,1,17,7,35,0.013027800172408666,0.010902495122663315,-10,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Kano,2022,0.5585826974055309,8,0.539020393931738,9,5456652,5859890077.8,0.558577,125186662228.72,Medium,0.02702702702702703,0.07745801804357441,0.03603864954382601,0.02958166715451156,1,1,8,2,-0.0414193684997484,0.009011622516798982,7,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Kaduna,2022,0.5567249427187381,9,0.5581142025667567,7,2750033,5859890077.440001,0.481345,86863069011.79,Low,0.02702702702702703,0.03903714323992534,0.0359187908901178,0.02958166715269422,1,6,9,4,-0.003118352349807542,0.00889176386309077,3,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Bauchi,2022,0.5399745234943202,10,0.47670643290192827,11,3166166,4655417717.059999,0.703399,144278030172.82,High,0.02702702702702703,0.04494421545609869,0.03483808701055831,0.023501297045317244,1,4,10,33,-0.010106128445540381,0.007811059983531279,6,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Gombe,2022,0.5310978991752059,11,0.46089184500016706,13,1413214,5859890077.440001,0.722098,139096654264.82,Medium,0.02702702702702703,0.020060791032932276,0.034265384786779055,0.02958166715269422,1,25,11,4,0.014204593753846778,0.007238357759752026,-14,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Jigawa,2022,0.523873796489069,12,0.4673991304027356,12,2757744,5859890077.440001,0.66713,44406862432.83,Low,0.02702702702702703,0.03914660207606405,0.033799299986473665,0.02958166715269422,1,5,12,4,-0.005347302089590389,0.006772272959446636,7,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Oyo,2022,0.5123848245834745,13,0.5242413148157077,10,2473608,4655437723.68,0.411313,160071143937.27,High,0.02702702702702703,0.03511324766481901,0.033058054269326106,0.02350139804195129,1,7,13,27,-0.002055193395492906,0.006031027242299078,6,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Taraba,2022,0.5098065591685871,14,0.45194611580453314,14,1206243,5859890077.440001,0.661959,90807647838.11,Low,0.02702702702702703,0.017122805716570405,0.032891709690180224,0.02958166715269422,1,31,14,4,0.01576890397360982,0.005864682663153195,-17,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Adamawa,2022,0.47821127842868133,15,0.436265167514335,15,1647586,4655437717.68,0.58143,122481259391.92,Medium,0.02702702702702703,0.02338773777699963,0.030853244741099285,0.023501398011662327,1,20,15,30,0.0074655069640996545,0.003826217714072256,-5,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Niger,2022,0.465129150898284,16,0.42653157568007194,17,2367798,4655417723.99,0.559825,98262195557.88,Medium,0.02702702702702703,0.03361125837006637,0.03000921177777005,0.023501297080301,1,9,16,31,-0.0036020465922963207,0.002982184750743022,7,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
Akwa Ibom,2022,0.4495622968005901,17,0.43044006937984064,16,1383961,5859894329.45,0.478009,219617660991.63,High,0.02702702702702703,0.01964554017914342,0.029004869176517994,0.029581688617524256,1,26,17,1,0.009359328997374575,0.0019778421494909652,-9,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,allocation_comparison_outputs,final_processed_allocation_comparison,Allocation shares are comparative decision-support outputs. Equal allocation uses identical shares; population allocation uses school-age basic population; BENI allocation uses BENI-Expanded need score; matching grant share is retained as historical/contextual benchmark.
