state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Abia,2018,0.2811446244790875,23,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Abia,2019,0.20965983432422913,26,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Abia,2020,0.2107342999775496,26,Lower Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Abia,2022,0.21027488100596567,30,Lower Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Adamawa,2018,0.3727462947680726,16,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Adamawa,2019,0.3721854271050057,17,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Adamawa,2020,0.37699920089024175,17,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Adamawa,2022,0.34403684036981236,17,Medium Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Akwa Ibom,2018,0.5605002047151899,1,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Akwa Ibom,2019,0.5646110565482891,2,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Akwa Ibom,2020,0.553382046589419,2,High Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Akwa Ibom,2022,0.4121288349029659,12,High Need,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
Anambra,2018,0.27353723863589197,25,Medium Need,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_scores,final_processed_score_file
