state,year,budget_context_variable,matching_grant_million_naira,amount_naira,split_group,model_ready_flag,source_file,source_sheet,source_note,cleaning_status,interim_note
Abia,2018,matching_grant_million_naira,1473.8328392,1473832839.2,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Abia,2019,matching_grant_million_naira,1519.88407868,1519884078.6799998,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Abia,2020,matching_grant_million_naira,0.0,0.0,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Abia,2022,matching_grant_million_naira,0.0,0.0,TEST_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,2022 UBEC public school indicators with richer infrastructure fields,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Adamawa,2018,matching_grant_million_naira,1473.8328392,1473832839.2,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Adamawa,2019,matching_grant_million_naira,1519.88407886,1519884078.8600001,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Adamawa,2020,matching_grant_million_naira,715.07413514,715074135.14,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Adamawa,2022,matching_grant_million_naira,0.0,0.0,TEST_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,2022 UBEC public school indicators with richer infrastructure fields,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Akwa Ibom,2018,matching_grant_million_naira,1473.83709721,1473837097.2099998,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Akwa Ibom,2019,matching_grant_million_naira,1519.88407886,1519884078.8600001,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Akwa Ibom,2020,matching_grant_million_naira,715.07413514,715074135.14,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Akwa Ibom,2022,matching_grant_million_naira,1204.45235376,1204452353.76,TEST_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,2022 UBEC public school indicators with richer infrastructure fields,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Anambra,2018,matching_grant_million_naira,1473.8328452,1473832845.2,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Anambra,2019,matching_grant_million_naira,1519.88407886,1519884078.8600001,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Anambra,2020,matching_grant_million_naira,715.07413514,715074135.14,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Anambra,2022,matching_grant_million_naira,0.0,0.0,TEST_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,2022 UBEC public school indicators with richer infrastructure fields,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Bauchi,2018,matching_grant_million_naira,1473.8328392,1473832839.2,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Bauchi,2019,matching_grant_million_naira,1519.86407886,1519864078.8600001,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Bauchi,2020,matching_grant_million_naira,715.07413514,715074135.14,TRAIN_2018_2020,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,Common 2018-2020 UBEC public school indicators,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
Bauchi,2022,matching_grant_million_naira,0.0,0.0,TEST_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,2022 UBEC public school indicators with richer infrastructure fields,cleaned,"UBEC matching-grant allocation context extracted from model-ready workbook; retained as budget/allocation context, not a direct BENI input."
