state,year,period,dmo_domestic_debt_stock_naira,fiscal_pressure_band,split_group,model_ready_flag,source_file,source_sheet,source_note,cleaning_status,interim_note
Abia,2022,2025_Q1_or_latest_available_context,104573334025.73,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Adamawa,2022,2025_Q1_or_latest_available_context,122481259391.92,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Akwa Ibom,2022,2025_Q1_or_latest_available_context,219617660991.63,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Anambra,2022,2025_Q1_or_latest_available_context,75696142356.69,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Bauchi,2022,2025_Q1_or_latest_available_context,144278030172.82,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Bayelsa,2022,2025_Q1_or_latest_available_context,151158248963.07,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Benue,2022,2025_Q1_or_latest_available_context,143368150982.89,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Borno,2022,2025_Q1_or_latest_available_context,96329344297.36,Medium,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Cross River,2022,2025_Q1_or_latest_available_context,175198799155.96,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Delta,2022,2025_Q1_or_latest_available_context,272612510528.95,High,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
Ebonyi,2022,2025_Q1_or_latest_available_context,67060019562.44,Low,CV_ONLY_2022,True,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,cleaned,DMO-derived state domestic debt/fiscal pressure context retained for interpretation; not a direct BENI input.
