state,year,nbs_socioeconomic_need_proxy,nbs_socioeconomic_need_proxy_norm,school_age_basic_population,split_group,model_ready_flag,source_note,source_file,source_sheet,cleaning_status,interim_note
Abia,2022,0.297362,0.29579774626344396,1275605,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Adamawa,2022,0.58143,0.6879418330004128,1647586,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Akwa Ibom,2022,0.478009,0.545173433904337,1383961,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Anambra,2022,0.201208,0.16306113912674958,1847508,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Bauchi,2022,0.703399,0.8563149764562802,3166166,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Bayelsa,2022,0.598393,0.7113585506290059,794008,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Benue,2022,0.67801,0.821266515460445,1936067,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Borno,2022,0.601749,0.7159913693734237,1906072,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Cross River,2022,0.588259,0.6973689841343904,1422316,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Delta,2022,0.342217,0.3577182125271087,1655631,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Ebonyi,2022,0.676609,0.8193324930942564,1025052,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
Edo,2022,0.318674,0.32521807793240454,1473259,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,cleaned,NBS-derived socioeconomic need proxy retained for BENI-Expanded construction and validation
