raw_state_name,standard_state_name,source_sheet,notes
Abia,Abia,Model_Ready_Core_StateYear,No change
Abia,Abia,Model_Ready_Expanded_2022,No change
Adamawa,Adamawa,Model_Ready_Core_StateYear,No change
Adamawa,Adamawa,Model_Ready_Expanded_2022,No change
Akwa Ibom,Akwa Ibom,Model_Ready_Core_StateYear,No change
Akwa Ibom,Akwa Ibom,Model_Ready_Expanded_2022,No change
Anambra,Anambra,Model_Ready_Core_StateYear,No change
Anambra,Anambra,Model_Ready_Expanded_2022,No change
Bauchi,Bauchi,Model_Ready_Core_StateYear,No change
Bauchi,Bauchi,Model_Ready_Expanded_2022,No change
Bayelsa,Bayelsa,Model_Ready_Core_StateYear,No change
Bayelsa,Bayelsa,Model_Ready_Expanded_2022,No change
Benue,Benue,Model_Ready_Core_StateYear,No change
Benue,Benue,Model_Ready_Expanded_2022,No change
Borno,Borno,Model_Ready_Core_StateYear,No change
Borno,Borno,Model_Ready_Expanded_2022,No change
Cross River,Cross River,Model_Ready_Core_StateYear,No change
Cross River,Cross River,Model_Ready_Expanded_2022,No change
Delta,Delta,Model_Ready_Core_StateYear,No change
Delta,Delta,Model_Ready_Expanded_2022,No change
Ebonyi,Ebonyi,Model_Ready_Core_StateYear,No change
Ebonyi,Ebonyi,Model_Ready_Expanded_2022,No change
Edo,Edo,Model_Ready_Core_StateYear,No change
Edo,Edo,Model_Ready_Expanded_2022,No change
Ekiti,Ekiti,Model_Ready_Core_StateYear,No change
Ekiti,Ekiti,Model_Ready_Expanded_2022,No change
Enugu,Enugu,Model_Ready_Core_StateYear,No change
Enugu,Enugu,Model_Ready_Expanded_2022,No change
FCT,FCT,Model_Ready_Core_StateYear,No change
FCT,FCT,Model_Ready_Expanded_2022,No change
Gombe,Gombe,Model_Ready_Core_StateYear,No change
Gombe,Gombe,Model_Ready_Expanded_2022,No change
Imo,Imo,Model_Ready_Core_StateYear,No change
Imo,Imo,Model_Ready_Expanded_2022,No change
Jigawa,Jigawa,Model_Ready_Core_StateYear,No change
Jigawa,Jigawa,Model_Ready_Expanded_2022,No change
Kaduna,Kaduna,Model_Ready_Core_StateYear,No change
Kaduna,Kaduna,Model_Ready_Expanded_2022,No change
Kano,Kano,Model_Ready_Core_StateYear,No change
Kano,Kano,Model_Ready_Expanded_2022,No change
Katsina,Katsina,Model_Ready_Core_StateYear,No change
Katsina,Katsina,Model_Ready_Expanded_2022,No change
Kebbi,Kebbi,Model_Ready_Core_StateYear,No change
Kebbi,Kebbi,Model_Ready_Expanded_2022,No change
Kogi,Kogi,Model_Ready_Core_StateYear,No change
Kogi,Kogi,Model_Ready_Expanded_2022,No change
Kwara,Kwara,Model_Ready_Core_StateYear,No change
Kwara,Kwara,Model_Ready_Expanded_2022,No change
Lagos,Lagos,Model_Ready_Core_StateYear,No change
Lagos,Lagos,Model_Ready_Expanded_2022,No change
Nasarawa,Nasarawa,Model_Ready_Core_StateYear,No change
Nasarawa,Nasarawa,Model_Ready_Expanded_2022,No change
Niger,Niger,Model_Ready_Core_StateYear,No change
Niger,Niger,Model_Ready_Expanded_2022,No change
Ogun,Ogun,Model_Ready_Core_StateYear,No change
Ogun,Ogun,Model_Ready_Expanded_2022,No change
Ondo,Ondo,Model_Ready_Core_StateYear,No change
Ondo,Ondo,Model_Ready_Expanded_2022,No change
Osun,Osun,Model_Ready_Core_StateYear,No change
Osun,Osun,Model_Ready_Expanded_2022,No change
Oyo,Oyo,Model_Ready_Core_StateYear,No change
Oyo,Oyo,Model_Ready_Expanded_2022,No change
Plateau,Plateau,Model_Ready_Core_StateYear,No change
Plateau,Plateau,Model_Ready_Expanded_2022,No change
Rivers,Rivers,Model_Ready_Core_StateYear,No change
Rivers,Rivers,Model_Ready_Expanded_2022,No change
Sokoto,Sokoto,Model_Ready_Core_StateYear,No change
Sokoto,Sokoto,Model_Ready_Expanded_2022,No change
Taraba,Taraba,Model_Ready_Core_StateYear,No change
Taraba,Taraba,Model_Ready_Expanded_2022,No change
Yobe,Yobe,Model_Ready_Core_StateYear,No change
Yobe,Yobe,Model_Ready_Expanded_2022,No change
Zamfara,Zamfara,Model_Ready_Core_StateYear,No change
Zamfara,Zamfara,Model_Ready_Expanded_2022,No change
