state,year,target_beni_expanded_score,beni_expanded_rank,ml_predicted_beni_expanded_score,ml_predicted_beni_expanded_rank,rank_difference
Katsina,2022,0.7809727773862591,1,0.7809727773862569,1,0
Yobe,2022,0.7345871356586402,2,0.7345871356586458,2,0
Borno,2022,0.649319458312419,3,0.6493194583124242,3,0
Sokoto,2022,0.6289216614981056,4,0.6289216614981044,4,0
Kebbi,2022,0.6208063949845395,5,0.6208063949845384,5,0
Zamfara,2022,0.6132712654863093,6,0.6132712654863046,6,0
Imo,2022,0.5878903638692669,7,0.5878903638692661,7,0
Kano,2022,0.5585826974055309,8,0.5585826974055255,8,0
Kaduna,2022,0.5567249427187381,9,0.5567249427187357,9,0
Bauchi,2022,0.5399745234943202,10,0.5399745234943172,10,0
Gombe,2022,0.5310978991752059,11,0.5310978991752049,11,0
Jigawa,2022,0.523873796489069,12,0.5238737964890621,12,0
Oyo,2022,0.5123848245834745,13,0.5123848245834701,13,0
Taraba,2022,0.5098065591685871,14,0.5098065591685883,14,0
Adamawa,2022,0.47821127842868133,15,0.47821127842868266,15,0
Niger,2022,0.465129150898284,16,0.4651291508982833,16,0
Akwa Ibom,2022,0.4495622968005901,17,0.4495622968006124,17,0
Rivers,2022,0.4070459394426853,18,0.40704593944268624,18,0
Bayelsa,2022,0.3938476408749833,19,0.39384764087498286,19,0
Plateau,2022,0.3677203486101616,20,0.3677203486101602,20,0
Nasarawa,2022,0.36395511677989006,21,0.36395511677989084,21,0
Ebonyi,2022,0.3629204977702607,22,0.36292049777025953,22,0
Benue,2022,0.3440312861214429,23,0.3440312861214419,23,0
Ondo,2022,0.34277829769330664,24,0.34277829769330553,24,0
Enugu,2022,0.31092872542172634,25,0.31092872542172706,25,0
Ogun,2022,0.2831089893214948,26,0.2831089893214936,26,0
Cross River,2022,0.27710652741860303,27,0.27710652741860226,27,0
Kogi,2022,0.27121871059127395,28,0.27121871059127284,28,0
Edo,2022,0.27056403383474986,29,0.2705640338347483,29,0
Kwara,2022,0.2657256429926266,30,0.2657256429926255,30,0
Delta,2022,0.25083570327472376,31,0.2508357032747249,31,0
FCT,2022,0.2348073799805532,32,0.234807379980559,32,0
Osun,2022,0.23384002082242206,33,0.23384002082242256,33,0
Abia,2022,0.2269636974552347,34,0.22696369745523265,34,0
Anambra,2022,0.21836104564241002,35,0.2183610456424097,35,0
Ekiti,2022,0.17092673976357228,36,0.1709267397635711,36,0
Lagos,2022,0.16174238073952138,37,0.16174238073952196,37,0
