state,year,actual_beni_expanded_score,actual_beni_expanded_rank,ml_predicted_beni_expanded_score,ml_predicted_beni_expanded_rank,rank_difference
Katsina,2022,0.7809727773862591,1,0.7809727773862569,1,0
Yobe,2022,0.7345871356586402,2,0.7345871356586458,2,0
Borno,2022,0.649319458312419,3,0.6493194583124242,3,0
Sokoto,2022,0.6289216614981056,4,0.6289216614981044,4,0
Kebbi,2022,0.6208063949845395,5,0.6208063949845384,5,0
Zamfara,2022,0.6132712654863093,6,0.6132712654863046,6,0
Imo,2022,0.5878903638692669,7,0.5878903638692661,7,0
Kano,2022,0.5585826974055309,8,0.5585826974055255,8,0
Kaduna,2022,0.5567249427187381,9,0.5567249427187357,9,0
Bauchi,2022,0.5399745234943202,10,0.5399745234943172,10,0
