state,year,target_beni_core_score,beni_rank_within_year,priority_band_within_year,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,matching_grant_million_naira,core_indicator_completeness,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Abia,2018,0.2811446244790875,23,Medium Need,16.316241165440648,23.249511869283733,0.26929179287465743,0.5369437878943583,111.94507669470559,0.0484997601462542,0.047917146317248346,0.46959175807034065,0.8328624806364977,0.0068519772250966995,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Abia,2019,0.20965983432422913,26,Lower Need,24.73072295745379,22.9696261682243,0.0784206496773488,0.5307801706623324,110.89406571848946,0.1174325544881229,0.04537870850042637,0.0637226816447031,0.8157844512240012,0.005980775763891924,1519.88407868,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Abia,2020,0.2107342999775496,26,Lower Need,24.693421332765595,23.5646078829744,0.07738982329146264,0.5307801706623324,113.87825233186058,0.11712697355196953,0.05077492588245876,0.061530728758654216,0.8157844512240012,0.008454420470664248,0.0,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Abia,2022,0.21027488100596567,30,Lower Need,30.500511770726714,30.594455852156056,0.1142644458918768,0.41179764793727835,279.9222886421862,0.16469959665331868,0.11453249500418555,0.13994105714916952,0.4861100171735885,0.14609123904956603,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Adamawa,2018,0.3727462947680726,16,Medium Need,24.037105390966488,47.66829330936176,0.28340618423182773,0.5452677539488892,256.96988577362407,0.11175032731782232,0.269384545378988,0.499604649953756,0.8559263620808645,0.1270655891089322,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Adamawa,2019,0.3721854271050057,17,Medium Need,26.435919295254333,47.786310517529216,0.2720943449843706,0.5452677539488892,257.6060920733818,0.13140179839066282,0.27045490854192933,0.47555111482458906,0.8559263620808645,0.1275929516869826,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Adamawa,2020,0.37699920089024175,17,Medium Need,28.030739924550854,48.187170925902144,0.2747170657005192,0.5452677539488892,259.76704742125304,0.14446682665607724,0.27409053271289924,0.48112807746521846,0.8559263620808645,0.1293842055361494,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Adamawa,2022,0.34403684036981236,17,Medium Need,31.352943366720037,55.44883445278546,0.25565029601221284,0.4401422362702489,348.96228760878574,0.17168285401242225,0.3399505650043062,0.4405844307191327,0.5646466451005095,0.203319707012691,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Akwa Ibom,2018,0.5605002047151899,1,High Need,102.70476706392199,71.98185200653025,0.214409534127844,0.4804282622726755,739.730784237222,0.7562085218325154,0.4898976213410471,0.3528899282568326,0.6762703736810566,0.5272345784644978,1473.83709721,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Akwa Ibom,2019,0.5646110565482891,2,High Need,132.46388206388207,71.2512932824831,0.11842751842751843,0.47781595740663824,733.3649436455499,1.0,0.4832717812730807,0.14879342936652012,0.669032250731957,0.5219578213698879,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Akwa Ibom,2020,0.553382046589419,2,High Need,124.15404986435861,72.58063663482234,0.11303449166774318,0.47781595740663824,747.0474154683249,0.9319245120277165,0.4953283294438007,0.1373256781210317,0.669032250731957,0.5332994626225891,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Akwa Ibom,2022,0.4121288349029659,12,High Need,55.88285513918956,50.26024241759447,0.10266182882580724,0.3373553447046564,1310.071479628306,0.3726358544741748,0.29289236164366644,0.11526921103433785,0.27984674736265064,1.0,1204.45235376,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Anambra,2018,0.27353723863589197,25,Medium Need,34.33136812900988,40.909635649838144,0.30304606670134676,0.34196570011708793,259.9417943107221,0.19608259087994176,0.20808655077280766,0.5413669657521776,0.2926210294719388,0.12952905630259387,1473.8328452,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Anambra,2019,0.19576253484218395,28,Lower Need,44.42159440979788,40.71953991321716,0.08257570065369299,0.34196570011708793,258.7339168490153,0.27874335481868817,0.20636246767449723,0.07255799678988971,0.2926210294719388,0.12852782545590585,1519.88407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Anambra,2020,0.20642587068340915,28,Lower Need,47.2217387926346,41.86176733934844,0.08911506487452413,0.34196570011708793,266.10814360770576,0.3016825900135204,0.2167219582913014,0.0864633240816949,0.2926210294719388,0.13464045155859017,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Anambra,2022,0.20219177981346675,32,Lower Need,21.699371623856244,30.01906359615678,0.18994598169992283,0.3623608357480555,295.54804804804803,0.09259923459726888,0.10931394522973704,0.30087054353639503,0.34913147018647933,0.15904370551745345,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Bauchi,2018,0.3765244005912122,15,Medium Need,34.834669050735975,61.26731060818779,0.19847376991602542,0.5427079238501713,250.6863511029412,0.20020571334748916,0.39272153491539064,0.3190040626700081,0.8488336351850821,0.12185705683809121,1473.8328392,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Bauchi,2019,0.384478195272105,15,Medium Need,43.267692185703524,60.978990892328326,0.18986639178527534,0.5399787673911829,249.67764813543812,0.26929040136650756,0.3901066043658746,0.3007013032593701,0.8412717421402427,0.12102092522852986,1519.86407886,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Bauchi,2020,0.3926951365885345,14,Medium Need,46.948036459664365,61.51956242674555,0.19260584376863446,0.5393760116090863,251.94194285714286,0.29944037628059206,0.39500934580807057,0.30652648368095425,0.8396016382730346,0.12289783890002112,715.07413514,1,TRAIN_2018_2020,True,Common 2018-2020 UBEC public school indicators,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
Bauchi,2022,0.4195484300476191,11,High Need,47.83133020228542,72.59805792546027,0.12895233164453979,0.5721261787157611,337.7923739879864,0.3066764613311712,0.49548633273873777,0.17117342955088025,0.9303451572258056,0.19406076939150071,0.0,1,TEST_2022,True,2022 UBEC public school indicators with richer infrastructure fields,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Core_StateYear,beni_core_model_ready,final_model_ready
