state,year,target_beni_expanded_score,target_beni_core_score,beni_expanded_rank,beni_core_rank,pupil_teacher_ratio,pupil_classroom_ratio,unqualified_teacher_share,bad_classroom_share,enrolment_per_school,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,matching_grant_2018_2022_naira,pupil_teacher_ratio_norm,pupil_classroom_ratio_norm,unqualified_teacher_share_norm,bad_classroom_share_norm,enrolment_per_school_norm,nbs_socioeconomic_need_proxy_norm,cv_fold,split_group,model_ready_flag,source_note,processed_source_file,processed_source_sheet,processed_dataset_name,processed_status
Abia,2022,0.2269636974552347,0.21319688769359288,34,33,30.500511770726714,30.594455852156056,0.1142644458918768,0.41179764793727835,158.5820029027576,0.297362,1275605,104573334025.73,Medium,2993716917.88,0.18457159508984172,0.11453249500418555,0.16375284017781944,0.5050765233311757,0.09805098486494192,0.29579774626344396,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Adamawa,2022,0.47821127842868133,0.436265167514335,15,15,31.352943366720037,55.44883445278546,0.25565029601221284,0.4401422362702489,299.6604982206406,0.58143,1647586,122481259391.92,Medium,4655437717.68,0.193555846458752,0.3399505650043062,0.7401431556711984,0.5866774070531797,0.32099886338423866,0.6879418330004128,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Akwa Ibom,2022,0.4495622968005901,0.43044006937984064,17,16,55.88285513918956,50.26024241759447,0.10266182882580724,0.3373553447046564,729.3235177079188,0.478009,1383961,219617660991.63,High,5859894329.45,0.4520902490511967,0.29289236164366644,0.11645223615295608,0.29076550005138424,1.0,0.545173433904337,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Anambra,2022,0.21836104564241002,0.22942102694554212,35,29,21.699371623856244,30.01906359615678,0.18994598169992283,0.3623608357480555,166.73867005506142,0.201208,1847508,75696142356.69,Low,4655437723.68,0.09181147711186885,0.10931394522973704,0.4722851598144418,0.3627534980097297,0.11094105456193319,0.16306113912674958,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Bauchi,2022,0.5399745234943202,0.47670643290192827,10,11,47.83133020228542,72.59805792546027,0.12895233164453979,0.5721261787157611,305.6977073977783,0.703399,3166166,144278030172.82,High,4655417717.059999,0.367230743284164,0.49548633273873777,0.2236312162366867,0.9666443416281372,0.33053953062191554,0.8563149764562802,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Bayelsa,2022,0.3938476408749833,0.33034545892417877,19,21,21.391297262059975,30.833215879727508,0.19214471968709257,0.538642236316655,156.63126491646779,0.598393,794008,151158248963.07,High,5859870077.45,0.08856450982475297,0.11669794140190677,0.4812487957160076,0.8702478352415725,0.09496821243665397,0.7113585506290059,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Benue,2022,0.3440312861214429,0.2485842402536425,23,25,24.527340860904296,25.47833435771358,0.11015235935111681,0.5301167793484942,134.80731707317074,0.67801,1936067,143368150982.89,Medium,4655417717.68,0.12161701999484777,0.06813156695466471,0.14698902076769152,0.84570400293879,0.060479590612218484,0.821266515460445,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Borno,2022,0.649319458312419,0.635985076100218,3,3,48.71341429906028,80.73941160397122,0.313458262350937,0.45304672556699155,497.99887640449435,0.601749,1906072,96329344297.36,Medium,5859890077.38,0.37652751887436114,0.5693247602805089,0.9758099634008872,0.6238279812024775,0.6344351567428551,0.7159913693734237,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Cross River,2022,0.27710652741860303,0.19305403607544558,27,36,12.988239137536752,19.948319116909182,0.16067733856038333,0.4427997992975414,96.53662484823958,0.588259,1422316,175198799155.96,High,5859870077.440001,0.0,0.017976808202345214,0.35296513989092193,0.5943282322839607,0.0,0.6973689841343904,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Delta,2022,0.25083570327472376,0.22945920142424678,31,28,25.746430405752438,37.935749962161346,0.1292758089368259,0.3777054639019222,222.99065836298934,0.342217,1655631,272612510528.95,High,5859890077.440001,0.13446568370417833,0.1811147409807049,0.2249499421091629,0.4069289576435738,0.19983668268361401,0.3577182125271087,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Ebonyi,2022,0.3629204977702607,0.2716380987054616,22,22,29.960140474100086,33.99203107879271,0.10272168568920105,0.512102799083574,174.63971340839305,0.676609,1025052,67060019562.44,Low,4655437723.68,0.17887632102414924,0.1453469789458304,0.11669625573728251,0.7938437786271753,0.12342715919287044,0.8193324930942564,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Edo,2022,0.27056403383474986,0.2596332250152189,29,24,35.16823438704703,41.3912885662432,0.15528141865844255,0.350453720508167,218.34944949736717,0.318674,1473259,110991259332.19,Medium,4655437723.69,0.2337673235242178,0.21245492676685512,0.3309674932239497,0.3284742516597504,0.19250212990132154,0.32521807793240454,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Ekiti,2022,0.17092673976357228,0.15011793395805745,36,37,18.00805112881806,24.84665597801191,0.09063745019920319,0.42304168575355017,115.7742796157951,0.282275,1131635,118452808502.43,Medium,5859890076.82,0.052906594460272266,0.06240252727513121,0.0674322289577433,0.5374468443121351,0.0304014747850055,0.2749707687911463,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Enugu,2022,0.31092872542172634,0.2468163218389733,25,26,17.92773995168021,17.966213613602598,0.11624203821656051,0.5735981951246355,121.42060245444404,0.540537,1434154,89887652914.75,Low,5859890077.45,0.052060150233508545,0.0,0.17181492745862986,0.9708821114064945,0.03932442009623371,0.6314907433354915,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
FCT,2022,0.2348073799805532,0.22649502132522267,32,30,17.288137976285327,46.458060453400506,0.07409663964006187,0.4125944584382871,299.9,0.283288,880840,112489595162.94,Medium,5859890077.43,0.0453190287757767,0.25840827600508337,0.0,0.5073704511976692,0.3213773506475842,0.27636917325720567,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Gombe,2022,0.5310978991752059,0.46089184500016706,11,13,38.26425492442844,66.57827779360106,0.2587984940252087,0.41374727048324317,307.57412280701755,0.722098,1413214,139096654264.82,Medium,5859890077.440001,0.26639800835791466,0.4408896260194472,0.752977472856418,0.5106892674926429,0.33350485027441246,0.8821281700504006,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Imo,2022,0.5878903638692669,0.6272765059752682,7,4,107.86888761795825,72.84652150823155,0.0802116099513869,0.5592622990392507,529.4280701754386,0.366297,1754241,207520959471.52,High,3708791059.2,1.0,0.49773978603135793,0.02492901279708982,0.929610678010742,0.684103053037151,0.3909596533392601,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Jigawa,2022,0.523873796489069,0.4673991304027356,12,12,47.08200381748118,71.25168955744495,0.22926495480246337,0.4541639415740135,245.09298837645295,0.66713,2757744,44406862432.83,Low,5859890077.440001,0.3593331751624741,0.4832753753093076,0.6325775461611665,0.6270443205054308,0.23476523487529918,0.8062471269207355,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kaduna,2022,0.5567249427187381,0.5581142025667567,9,7,57.97628250577499,77.4037985892699,0.16153969306772178,0.5837124797703747,362.85385055825935,0.481345,2750033,86863069011.79,Low,5859890077.440001,0.4741540460436615,0.5390722458192455,0.35648071649302815,1.0,0.4208640044778484,0.549778643478645,4,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kano,2022,0.5585826974055309,0.539020393931738,8,9,66.74941329856584,90.46223436837393,0.15652325076053888,0.4733072609904349,383.05666400638466,0.558577,5456652,125186662228.72,Medium,5859890077.8,0.5666189578386223,0.657506403351215,0.3360300931694739,0.6821557852902458,0.4527907300091329,0.6563942147744952,5,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Katsina,2022,0.7809727773862591,0.7846029241207911,1,1,84.98893581081082,128.22524741961516,0.2715653153153153,0.42573163997791275,611.5897487844409,0.635673,3844428,62374809154.32,Low,5859890077.43,0.7588554444601137,1.0,0.8050242098176417,0.545190920158331,0.8139440461678693,0.7628220437135991,1,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kebbi,2022,0.6208063949845395,0.5449676739814474,5,8,39.293047152597715,69.86996243169399,0.3069720541630654,0.4692622950819672,322.4259259259259,0.807484,1951520,60131306074.57,Low,5859890077.43,0.2772410226568901,0.4707437298009501,0.9493675182723182,0.6705107831163246,0.3569753160607539,1.0,2,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
Kogi,2022,0.27121871059127395,0.19338515255505545,28,35,18.13769201948295,19.273855341738553,0.11464968152866242,0.48964830789648306,100.50415224913495,0.561469,1234128,90156501322.0,Low,5859870077.43,0.05427295201306284,0.01185972416950971,0.16532333743788594,0.7291998225086371,0.0062699266461816,0.6603865007723665,3,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_2022_model_ready,final_model_ready
