state,year,target_beni_expanded_score,beni_expanded_rank,target_beni_core_score,beni_core_rank,nbs_socioeconomic_need_proxy,school_age_basic_population,dmo_domestic_debt_stock_naira,fiscal_pressure_band,split_group,model_ready_flag,source_note,source_file,source_sheet,processed_dataset_name,processed_status
Abia,2022,0.2269636974552347,34,0.21319688769359288,33,0.297362,1275605,104573334025.73,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Adamawa,2022,0.47821127842868133,15,0.436265167514335,15,0.58143,1647586,122481259391.92,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Akwa Ibom,2022,0.4495622968005901,17,0.43044006937984064,16,0.478009,1383961,219617660991.63,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Anambra,2022,0.21836104564241002,35,0.22942102694554212,29,0.201208,1847508,75696142356.69,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Bauchi,2022,0.5399745234943202,10,0.47670643290192827,11,0.703399,3166166,144278030172.82,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Bayelsa,2022,0.3938476408749833,19,0.33034545892417877,21,0.598393,794008,151158248963.07,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Benue,2022,0.3440312861214429,23,0.2485842402536425,25,0.67801,1936067,143368150982.89,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Borno,2022,0.649319458312419,3,0.635985076100218,3,0.601749,1906072,96329344297.36,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Cross River,2022,0.27710652741860303,27,0.19305403607544558,36,0.588259,1422316,175198799155.96,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Delta,2022,0.25083570327472376,31,0.22945920142424678,28,0.342217,1655631,272612510528.95,High,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Ebonyi,2022,0.3629204977702607,22,0.2716380987054616,22,0.676609,1025052,67060019562.44,Low,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Edo,2022,0.27056403383474986,29,0.2596332250152189,24,0.318674,1473259,110991259332.19,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
Ekiti,2022,0.17092673976357228,36,0.15011793395805745,37,0.282275,1131635,118452808502.43,Medium,CV_ONLY_2022,True,Final 2022 expanded BENI dataset; use 5-fold or leave-one-state-out CV due N=37,Capstone_Stage_ML1_Model_Ready_Dataset.xlsx,Model_Ready_Expanded_2022,beni_expanded_scores,final_processed_score_file
